,College Name or Type,groups
3813,public (out-of-state),
3815,smaller university,
3816,pubpub,
3817,4-year liberal arts,
3818,national bball champion,
3820,"private, 5k students",
3821,high caliber private,
3822,private / christian,
3823,elite large public university,
3824,small private (ranked),
3825,te,
3826,all male,
3828,"private, top liberal",
3832,middle of the road liberal art,
3834,joke,
3837,directional state,
3838,english universities,
3840,medium sized public,
3843,national public tier 1,
3844,small private la,
3845,"liberal arts, highly competiti",
3849,large research university,
3852,four year university,
3857,super-large public,
3858,top small liberal arts college,
3861,publix,
3862,4-year public univeristy,
3863,major online,
3864,tier 2 public,
3866,"state school, private grad sch",
3868,tier,
3870,"large, private, and catholic",
3872,local state school,
3873,top private liberal,
3875,"public, state university",
3878,tech/engineering,
3881,largest public,
3882,university-private,
3883,shitty,
3884,mid-size urban private,
3886,private art school,
3887,top tier liberal arts,
3892,4 year lib arts,
3894,private ny liberal arts,
3895,sweet 16,
3896,really good,
3897,big/horrible-state,
3900,?,
3901,full time,
3903,top private engineering,
3907,respected public,
3908,nationally-ranked public,
3909,public -large,
3913,run of the mill,
3914,public texas,
3918,major public univ.,
3919,private - highly competitive,
3923,pretty lousy one,
3924,small private liberal arts sch,
3925,regional catholic,
3926,regional liberal art,
3931,top-ranked/large/public,
3933,liberal arts school in texas,
3937,3 tier public,
3938,div. 2 liberal arts,
3939,ateneo de manila (philippines),
3943,the university of so,
3944,t3 state,
3947,texas private,
3949,2nd tier,
3952,health sciences,
3957,small state public,
3961,women\'s college,
3966,bottom 50 public,
3969,average liberal arts college,
3971,engineering school,
3973,gator,
3974,pub-u,
3976,specialty school,
3981,3rd tier - evangelic,
3984,aau member,
3988,ranked/ large public,
3990,liberal arts  private college,
3991,division ii,
3992,lg public (ug & grad,
3994,public - urban,
3996,large state univ.,
3998,continuing ed,
4002,cat-a-holic,
4003,state large public,
4004,private-first tier,
4006,small public midwest liberal a,
4007,"public, 4-year",
4008,"private, south",
4014,regional lac,
4018,miniscule private,
4020,regional masters,
4021,"big, public",
4024,publilc,
4028,huge ny state,
4031,physical education,
4033,public / research,
4035,4 years,
4037,midwest private,
4038,privet,
4039,middle sized southern school,
4045,mid-sized private,
4047,tier 1 university,
4051,"small, private, non-",
4053,large pblic,
4054,sm. private lib arts,
4056,middling public,
4057,honors college,
4058,private-large,
4059,mills college,
4062,"university (20,000  students)",
4063,"large public, infamo",
4065,medium-large private,
4066,"small liberal arts, private",
4070,wasp,
4074,a very good one,
4075,private; co-ed,
4079,kick ass?,
4080,lib arts az,
4081,medium/ public,
4084,carolina,
4085,small state liberal art,
4091,2008 national champions,
4092,maligned state schoo,
4096,large-city state university,
4097,blank,
4098,major research,
4100,mid-major public,
4108,bba (hons.),
4109,depressing,
4116,2nd tier liberal art,
4117,priviate liberal arts,
4119,private us,
4121,large top private,
4122,public 4year,
4123,sm lib arts,
4126,ball so hard university,
4127,first tier undergrad,
4132,state univeristy,
4135,4 year liberal arts,
4138,small regional,
4139,tier1,
4145,priv/small/lib arts,
4147,engineering/business,
4149,itty bitty,
4151,liberal arts univers,
4160,"small, private, religious",
4162,state uni - decent rep,
4163,state land grant university,
4164,us news tier 2,
4166,tier ii,
4167,"medium-sized, public",
4168,the top lac,
4170,undergrad university,
4171,private elite,
4176,private-new england,
4179,public in texas,
4183,"private, liberal-arts",
4184,small private obscure,
4185,public-texas,
4186,d3 public,
4187,best of the best,
4188,accredited online,
4192,4 yr public,
4203,"public, high ranked",
4204,catholic liberal arts college,
4205,for-profit,
4207,no name public,
4208,mid-level private,
4211,dc private,
4213,decent school,
4215,u/g: public; grad: p,
4219,top northeastern reg,
4220,large california public,
4223,state school in fl,
4224,public (large),
4225,4 year bachelors,
4226,liberal arts and science,
4228,communications,
4232,small parochial,
4237,research institute,
4238,large-regional,
4239,private - univesity,
4240,private univ,
4241,out of state,
4242,religous private,
4243,private (tiny lefty),
4246,"urban, public",
4247,podunk public,
4250,major research university,
4251,top larts,
4252,large private univ.,
4257,top ranked liberal arts,
4262,tier i research university,
4268,public/ state,
4270,best,
4272,citadel,
4273,graduate school of business,
4280,top regional public,
4281,"private, jesuit university",
4283,military,
4288,mid-tier state school,
4292,big public party school,
4293,conj,
4294,top liberal arts/int,
4295,aba,
4296,top school,
4298,high ranked public school,
4299,oral roberts,
4300,dfw area,
4305,high-ranked public,
4306,tech school,
4311,"private, southern",
4316,public - large,
4319,fit,
4323,washington & lee university,
4324,liberalts school,
4326,state regional university,
4331,friends university,
4336,small religious,
4340,top tier liberal arts college,
4343,toptier biz school,
4351,4-year college,
4352,academy,
4353,lg. state u.,
4354,pseudo-ivy,
4358,private technical,
4363,liberal-arts,
4364,aviation,
4365,land grant uni.,
4366,2aaaa,
4367,private research institution,
4370,second tier public,
4371,reputable private,
4375,average large public,
4376,"large, public univer",
4379,somewhere,
4383,small liberal artss,
4388,4-year public,
4390,good lib. arts,
4392,non-ivy!,
4393,you've never heard of it,
4394,huge state school,
4395,semipublic,
4396,large city,
4397,pubilc,
4407,polytechnic,
4409,private/,
4411,small west coast private,
4412,large priv.,
4418,rising public,
4423,jesuit/private,
4425,"top tier, large private",
4435,private las,
4438,more selective private,
4440,extremely large research unive,
4441,small catholic college,
4446,top-private,
4449,city college,
4452,public honors college,
4454,flyover country,
4459,non-ivy league,
4462,major california public univer,
4465,ranked large public university,
4467,middle tier private,
4469,private uni.,
4479,public-regional,
4480,elite liberal arts college,
4481,in a city,
4482,competitie liberal arts,
4493,"private, 4 year, 2nd",
4494,public se,
4497,land grant ttt,
4501,small-private,
4507,public uinversity,
4508,top ranked liberal a,
4509,public- liberal arts,
4511,small private christian,
4513,fgf,
4515,"small private, nothing special",
4516,"small, private, liberal arts s",
4522,private christian school,
4525,christian,
4526,private northeast,
4528,"private, 2nd tier",
4530,"private, small lib arts",
4534,philadelphia,
4539,competitive state university,
4541,top private engineer,
4545,near ivy,
4547,public northeast,
4549,public liberal arts/honors col,
4555,regional engineering,
4557,rural,
4560,top univ. in china,
4566,major state,
4568,liberall arts,
4569,small-midsized catholic,
4572,univ.,
4574,private - jesuit,
4576,top ranked public un,
4579,small univ. in ma,
4581,avg. state school,
4583,private - eh,
4585,"private, mid-sized",
4588,pulic university,
4590,unranked business school,
4595,enormous private,
4599,unversity,
4602,large public (highly ranked),
4609,unranked,
4610,t1-2,
4611,medium-size,
4612,large state uni,
4613,academic type.,
4616,regional public school,
4618,top-tier small priva,
4619,"mph gw, undergrad gw",
4622,top private la/eng,
4625,top ranked midwestern,
4627,"good, but not ivy",
4633,arts & sciences,
4636,university public,
4637,major univeristy,
4639,grad school - masters,
4640,"private, t2",
4641,university of toront,
4644,avg. liberal arts,
4646,4-year private institution in,
4647,public / state,
4650,post-grad,
4653,private/jewish,
4654,top masters-level,
4655,private ttt,
4656,nationally ranked st,
4659,major public state school,
4661,mid-size private university,
4663,state collge,
4668,senior military college,
4673,small bible college,
4677,"top public, liberal arts",
4679,public - research,
4681,under graduate,
4684,mid sized,
4685,prestigious liberal arts,
4687,tier 3 state,
4691,"large, public, midwe",
4697,"private, mid-size",
4699,large national,
4700,tier 2 public in texas,
4701,public univesity,
4708,learning school,
4713,4-yr,
4716,tier 1 public university,
4717,out of state public,
4727,private (top tier),
4728,public state support,
4730,pubic university,
4737,unimpressive public school,
4739,midwest state u,
4741,urban regional,
4744,ny other,
4748,"3rd tier, large public",
4750,libral arts,
4752,ca,
4754,undergrad/private,
4756,liberal arts/jesuit,
4758,"huge, strong public",
4763,small - private,
4764,ttttpublic,
4768,expensive,
4769,major private university (top,
4770,the best,
4771,3t,
4772,large public u,
4776,70,
4777,small southern liberal arts,
4778,very good!,
4784,mediocre state,
4788,prestigous,
4789,public/commuter campus,
4790,privae liberal arts,
4791,"top tier, private",
4792,"private, small",
4793,tier 2 - private,
4794,small private cathol,
4795,party school,
4796,public- top tier,
4797,the university of texas of the,
4817,state/public university,
4818,large publics,
4820,engineering institute,
4821,private lib. art.,
4823,small elite,
4824,romanian-american university,
4833,mediocre,
4834,public (after 2 yrs private),
4835,public four-year,
4837,public midwest,
4840,publica,
4845,accredited,
4846,pre-school,
4849,women's college,
4852,top ranked public university,
4853,look at my screennam,
4854,private-liberal arts,
4856,public - big east,
4859,aeronautical,
4862,4-year private college,
4865,one section of a 4 p,
4867,semi big private,
4871,top 15 private unive,
4873,private urban univer,
4874,2nd largest public university,
4875,not impressive,
4876,public huge lower en,
4877,public masters university,
4879,private lutheran,
4881,big catholic,
4887,"tier 1, private, single-sex",
4893,engin,
4895,1,
4899,small/liberal arts,
4901,public undergrad,
4903,human resources,
4905,highly competitive,
4906,east west university,
4910,tier i private,
4912,small public institution,
4913,top master\'s level (south),
4914,first tier liberal arts,
4916,private midwestern,
4917,non-prestigious liberal arts,
4920,major institution,
4921,christian lib arts,
4922,pretty cool,
4923,national - private,
4931,small private - midwest,
4933,small undergrad private,
4936,"private, small, liberal arts",
4938,l.b. state,
4944,"state, big",
4945,public int.,
4946,h is the _ of the east,
4948,land grant state school,
4956,rather urban,
4959,"small, private, competitive",
4960,public university of californi,
4961,small christian university,
4964,hail to the victors,
4968,1st tier northeast,
4969,"private university,",
4972,large private/public,
4973,4year,
4977,pt,
4978,small rural state sc,
4979,private top liberal arts,
4984,texas school,
4986,"over 45k, public",
4988,private catholic (no,
4989,tier-1,
4991,well ranked private university,
4995,oxy,
4996,smaller state school,
4999,large public/ research,
5006,public - 2nd tier,
5009,badass public (berke,
5011,public lib arts,
5014,private-religious,
5016,public/honors,
5018,top 4th tier public,
5020,unimpressive state school,
5022,top private lib arts,
5025,makes mama proud,
5026,4 year univ.,
5031,high rank small priv,
5033,jesuit catholic,
5034,uab undergraduate / uwa gradua,
5036,"private, baptist",
5038,small liberal art,
5044,universit,
5045,"private, public",
5049,land grant university,
5050,st. olaf,
5052,public/prison,
5053,national liberal arts college,
5056,jesuit private,
5060,"public, third-tier",
5062,middle eastern studies,
5065,undergrad liberal arts,
5066,small private/liberal arts,
5068,competitive,
5069,mostly unknown liberal arts,
5070,"public, t1",
5071,state school on east coast,
5080,private liberal arts college p,
5081,palmetto ivy,
5082,"tier 1 university, private",
5085,private - research,
5089,big public state school,
5092,"private, az",
5096,public 4 yr,
5101,"private, all-women",
5104,liberal arts-small-t,
5105,libarts,
5106,small private tier 1,
5108,undergrad/public,
5110,metro state,
5111,"20,000 students, pub",
5116,third-tier universit,
5117,south east,
5119,garbage technological school,
5120,n/r,
5121,p,
5123,becker,
5124,top state university,
5128,hard,
5131,4 yrs college,
5133,"public, state colleg",
5136,third tier state,
5137,small liberal arts.,
5138,public university - 4 year,
5140,average public school,
5141,tier 1 state school,
5142,state (public),
5146,top east coast public,
5148,medium-sized private school,
5149,champions,
5152,"public, state, eh.",
5153,4-year (internationa,
5154,high-ranking private,
5157,small liberal arts (midwest),
5160,lame,
5161,ba/ma,
5162,t1 catholic,
5164,small private catholic,
5165,big state u.,
5166,o-h!,
5170,a great one; not the best one.,
5171,one with an environm,
5175,"4 year, private",
5176,large urban private,
5177,small pvt,
5178,private in u.s. news rankings,
5179,small- big school,
5180,ttt (i dreamed of uv,
5183,medium-size. private catholic.,
5185,lib arts college,
5186,d3,
5187,football,
5189,horrible ttt,
5191,"public, top 10 in che",
5194,public not ranked,
5197,small science,
5205,tier-i,
5209,top private lac,
5210,lc,
5212,decent private u,
5214,top pub,
5216,private women's ivy,
5217,elementary was pretty sweet,
5222,public (ug) private(g),
5224,unprestigious public,
5225,state/lib arts,
5227,public t2,
5228,public-medium,
5231,d1 state,
5234,large public (honors college),
5238,largest,
5239,"public, large state school",
5241,liberal arts 4 year,
5244,large public (third tier),
5247,private (not the best school),
5250,big metro area,
5252,"small, selective la",
5253,huge state university,
5254,top tier national liberal arts,
5258,mid-size state university,
5259,univesity of souther,
5260,university of stuff,
5265,"public undergrad, grad",
5266,pa university,
5268,big east largest private,
5278,#1 party school,
5281,big ol\' public,
5283,large public/tier 1,
5285,tier i / private (not top 100),
5286,one of the top schools,
5287,publick,
5289,state satellite,
5291,city public,
5295,pulic,
5296,big southern univers,
5300,mid tier 1 private,
5301,poo state to small private,
5313,public - acc,
5314,social sciences,
5315,"undergraduate, liberal arts",
